Name,bb_cluster_rank,bb_cluster_size,subcluster_rank,subcluster_size
50225006,8,20,1,20
50224998,8,20,1,20
50225014,8,20,1,20
50225011,8,20,1,20
50225003,8,20,1,20
50225005,8,20,1,20
50225007,8,20,1,20
50225009,8,20,1,20
50225013,8,20,1,20
50225003,8,20,1,20
50225001,8,20,1,20
50225005,8,20,1,20
50253336,9,18,1,18
50253350,9,18,1,18
50253358,9,18,1,18
50253353,9,18,1,18
50253348,9,18,1,18
50253516,9,18,1,18
50253512,9,18,1,18
50253511,9,18,1,18
50253515,9,18,1,18
50253508,9,18,1,18
50253509,9,18,1,18
50253340,9,18,1,18
50253334,9,18,1,18
50253455,9,18,1,18
50253432,9,18,1,18
50253354,9,18,1,18
50253451,9,18,1,18
50253462,9,18,1,18
450315,10,14,1,13
450350,10,14,1,13
450352,10,14,1,13
450353,10,14,1,13
450355,10,14,1,13
450368,10,14,1,13
450370,10,14,1,13
450310,10,14,1,13
450372,10,14,1,13
450373,10,14,1,13
450374,10,14,1,13
450375,10,14,1,13
450316,10,14,1,13
50529663,11,11,1,11
290114,11,11,1,11
290116,11,11,1,11
290121,11,11,1,11
50529660,11,11,1,11
50529662,11,11,1,11
50529664,11,11,1,11
50529665,11,11,1,11
50529670,11,11,1,11
50529671,11,11,1,11
50529672,11,11,1,11
50145672,12,8,1,7
50216006,12,8,1,7
50215908,12,8,1,7
50145430,12,8,1,7
50145427,12,8,1,7
50145672,12,8,1,7
50145427,12,8,1,7
50215542,13,7,1,6
50215521,13,7,1,6
50157418,13,7,1,6
50218462,13,7,1,6
408871,13,7,1,6
50218462,13,7,1,6
50198734,14,7,1,7
50198747,14,7,1,7
50198749,14,7,1,7
50198753,14,7,1,7
50198735,14,7,1,7
50198736,14,7,1,7
50198733,14,7,1,7
50176700,15,6,1,6
50176687,15,6,1,6
50176682,15,6,1,6
50176689,15,6,1,6
50176692,15,6,1,6
50176688,15,6,1,6
50093295,16,6,1,6
50093308,16,6,1,6
603571,16,6,1,6
663041,16,6,1,6
50224501,16,6,1,6
50093293,16,6,1,6
253261,17,6,1,6
253236,17,6,1,6
253262,17,6,1,6
253264,17,6,1,6
315434,17,6,1,6
315435,17,6,1,6
50172246,18,6,1,6
50172240,18,6,1,6
50172243,18,6,1,6
50172250,18,6,1,6
50172241,18,6,1,6
50172244,18,6,1,6
50156600,19,5,1,5
50156600,19,5,1,5
50156605,19,5,1,5
50156604,19,5,1,5
50156595,19,5,1,5
50168791,20,5,1,5
50157417,20,5,1,5
50168820,20,5,1,5
50157419,20,5,1,5
50168753,20,5,1,5
50168827,21,4,1,4
50168747,21,4,1,4
50168768,21,4,1,4
50168824,21,4,1,4
408873,22,4,1,3
50215526,22,4,1,3
50215908,22,4,1,3
450385,24,4,1,4
450381,24,4,1,4
450383,24,4,1,4
450319,24,4,1,4
50216783,25,4,1,4
50216760,25,4,1,4
50216762,25,4,1,4
50216839,25,4,1,4
50217004,26,4,1,4
50216755,26,4,1,4
50216763,26,4,1,4
50217003,26,4,1,4
50216833,27,4,1,4
50216776,27,4,1,4
50216801,27,4,1,4
50216793,27,4,1,4
50199283,28,3,1,3
270433,28,3,1,3
442094,28,3,1,3
50249261,29,3,1,3
50249210,29,3,1,3
50249256,29,3,1,3
50168839,30,3,1,3
50168737,30,3,1,3
50168840,30,3,1,3
50176723,32,3,1,3
50176694,32,3,1,3
50176725,32,3,1,3
300564,33,3,1,3
300563,33,3,1,3
300565,33,3,1,3
450369,34,3,1,3
450347,34,3,1,3
450354,34,3,1,3
50164879,35,3,1,3
50164882,35,3,1,3
50164878,35,3,1,3
